# GENERATED by .agents/generate.py - do not edit by hand.
#
# The LinkML authoring vocabulary: every metamodel slot you may write in a schema,
# 236 of them. Query it, do not read it. Columns are tab-separated, so anchor
# on the column - a bare `grep basic` also matches every description with that word.
#
#   grep -P '^inlined\t' 900-metaslots.tsv                              # one slot
#   awk -F'\t' '$5 ~ /min|basic/ {print $1}' 900-metaslots.tsv          # everyday slots
#   awk -F'\t' '$2 ~ /class_definition/ {print $1}' 900-metaslots.tsv  # what a class carries
#
# tier: min/basic = commonly used, spec = in the formal specification,
# oo/rel = object-oriented / relational profiles only.
#
# used_on lists only classes declaring a slot directly. Classes also inherit every
# slot of their is_a/mixins ancestors, so class_definition does accept name and
# description even though those are declared on element.
#
# Presence here means the *metamodel* defines it, NOT that linkml-scala implements
# it. Check 200-limitations.md before relying on anything unusual.
#
# slot	used_on	range	cardinality	tier	description
interpolated	pattern_expression	boolean	single	spec	if true then the pattern is first string interpolated
inverse	slot_definition	slot_definition	single	spec	indicates that any instance of d s r implies that there is also an instance of r s' d
irreflexive	slot_definition	string	single	spec	If s is irreflexive, then there exists no i such i.s=i
is_a	definition,anonymous_class_expression,permissible_value	definition	single	spec,basic,oo	A primary parent class or slot from which inheritable metaslots are propagated from. Whil…
is_class_field	slot_definition	boolean	single	-	indicates that for any instance, i, the domain of this slot will include an assertion of…
is_direct	reachability_query	boolean	single	spec	True if the reachability query should only include directly related nodes, if False then…
is_grouping_slot	slot_definition	boolean	single	spec,basic	true if this slot is a grouping slot
is_usage_slot	slot_definition	boolean	single	-	True means that this slot was defined in a slot_usage situation
key	slot_definition	boolean	single	spec,basic,rel	True means that the slot is the "singular unique key" (also known more simply as the "key…
keywords	common_metadata	string	multi	basic	Keywords or tags used to describe the element
last_updated_on	common_metadata	datetime	single	basic	time at which the element was last updated
license	schema_definition	string	single	basic	license for the schema
list_elements_ordered	slot_definition	boolean	single	spec	If True, then the order of elements of a multivalued slot is guaranteed to be preserved.…
list_elements_unique	slot_definition	boolean	single	spec	If True, then there must be no duplicates in the elements of a multivalued slot
list_value_specification_constant	-	string	single	-	Grouping for metamodel slots that constrain members of a multivalued slot value to equal…
literal_form	structured_alias	string	single,required	-	The literal lexical form of a structured alias; i.e the actual alias value.
local_name_source	local_name	ncname	single	-	the ncname of the source of the name
local_name_value	local_name	string	single,required	-	a name assigned to an element in a given ontology
local_names	element	local_name	multi	-	
locally_reflexive	slot_definition	string	single	spec	If s is locally_reflexive, then i.s=i for all instances i where s is a class slot for the…
mapped_type	type_mapping	type_definition	single	-	type to coerce to
mappings	common_metadata	uriorcurie	multi	-	A list of terms from different schemas or terminology systems that have comparable meanin…
matches	enum_expression	match_query	single	spec	Specifies a match query that is used to calculate the list of permissible values
maximum_cardinality	slot_expression,dimension_expression	integer	single	spec	the maximum number of entries for a multivalued slot
maximum_number_dimensions	array_expression	Anything	single	-	maximum number of dimensions in the array, or False if explicitly no maximum. If this is…
maximum_value	type_expression,slot_expression	Anything	single	spec,basic	For ordinal ranges, the value must be equal to or lower than this
meaning	permissible_value	uriorcurie	single	spec,basic	the value meaning of a permissible value
metamodel_version	schema_definition	string	single	basic	Version of the metamodel used to load the schema
minimum_cardinality	slot_expression,dimension_expression	integer	single	spec	the minimum number of entries for a multivalued slot
minimum_number_dimensions	array_expression	integer	single	-	minimum number of dimensions in the array
minimum_value	type_expression,slot_expression	Anything	single	spec,basic	For ordinal ranges, the value must be equal to or higher than this
minus	enum_expression	anonymous_enum_expression	multi	spec	An enum expression that yields a list of permissible values that are to be subtracted fro…
mixin	definition	boolean	single	spec,basic,oo	Indicates the class or slot is intended to be inherited from without being an is_a parent…
mixins	definition,permissible_value	definition	multi	spec,basic,oo	A collection of secondary parent classes or slots from which inheritable metaslots are pr…
modified_by	common_metadata	uriorcurie	single	basic	agent that modified the element
multivalued	slot_expression	boolean	single	spec,min,basic,oo	true means that slot can have more than one value and should be represented using a list…
name	element	string	single	spec,min,basic,rel,oo	the unique name of the element within the context of the schema. Name is combined with th…
narrow mappings	common_metadata	uriorcurie	multi	-	A list of terms from different schemas or terminology systems that have narrower meaning.
none_of	type_expression,path_expression,slot_expression,+1	expression	single	spec	holds if none of the expressions hold
notes	common_metadata	string	multi	basic	editorial notes about an element intended primarily for internal consumption
obligation_level	enum_binding	obligation_level_enum	single	spec	The level of obligation or recommendation strength for a metadata element
open_world	class_rule	boolean	single	spec	if true, the the postconditions may be omitted in instance data, but it is valid for an i…
owned_by	element	uriorcurie	single	basic	agent that owns or is the steward of the element
owner	slot_definition	definition	single	-	the "owner" of the slot. It is the class if it appears in the slots list, otherwise the d…
partial_match	pattern_expression	boolean	single	spec	if not true then the pattern must match the whole string, as if enclosed in ^...$
path_rule	slot_definition	path_expression	single	-	a rule for inferring a slot assignment based on evaluating a path through a sequence of s…
pattern	type_expression,slot_expression	string	single	spec,basic	the string value of the slot must conform to this regular expression expressed in the str…
permissible_values	enum_expression	permissible_value	multi	spec,basic	A list of possible values for a slot range
postconditions	class_rule	anonymous_class_expression	single	spec	an expression that must hold for an instance of the class, if the preconditions hold
preconditions	class_rule	anonymous_class_expression	single	spec	an expression that must hold in order for the rule to be applicable to an instance
prefix_prefix	prefix	ncname	single	spec,basic	The prefix components of a prefix expansions. This is the part that appears before the co…
prefix_reference	prefix	uri	single,required	spec,basic	The namespace to which a prefix expands to.
prefixes	schema_definition	prefix	multi	spec,basic	A collection of prefix expansions that specify how CURIEs can be expanded to URIs
publisher	element	uriorcurie	single	basic	An entity responsible for making the resource available
pv_formula	enum_expression,enum_binding	pv_formula_options	single	spec,basic	Defines the specific formula to be used to generate the permissible values.
range	enum_binding,slot_expression	element	single	spec,min,basic,rel,oo	defines the type of the object of the slot. Given the following slot definition S1: domai…
range_expression	path_expression,slot_expression,extra_slots_expression	anonymous_class_expression	single	spec	A range that is described as a boolean expression combining existing ranges
rank	common_metadata,class_rule	integer	single	spec,basic	the relative order in which the element occurs, lower values are given precedence
reachable_from	enum_expression	reachability_query	single	spec	Specifies a query for obtaining a list of permissible values based on graph reachability
